n_checks,n_comparisons,effect_size,sample_size,std_dev,Probability_of_finding_an_effect
1,3,0.2,5000,0.05,1
1,3,0.2,5000,0.1,1
1,3,0.2,5000,0.2,1
1,3,0.2,10000,0.01,1
1,3,0.2,10000,0.05,1
1,3,0.2,10000,0.1,1
1,3,0.2,10000,0.2,1
1,5,0,100,0.01,0.231
1,5,0,100,0.05,0.227
1,5,0,100,0.1,0.228
1,5,0,100,0.2,0.2168
1,5,0,1000,0.01,0.2218
1,5,0,1000,0.05,0.2266
1,5,0,1000,0.1,0.2324
1,5,0,1000,0.2,0.2344
1,5,0,5000,0.01,0.224
1,5,0,5000,0.05,0.238
1,5,0,5000,0.1,0.2216
1,5,0,5000,0.2,0.232
1,5,0,10000,0.01,0.2348
1,5,0,10000,0.05,0.221
1,5,0,10000,0.1,0.2244
1,5,0,10000,0.2,0.2216
1,5,0.01,100,0.01,1
1,5,0.01,100,0.05,0.8204
1,5,0.01,100,0.1,0.4314
1,5,0.01,100,0.2,0.2876
1,5,0.01,1000,0.01,1
1,5,0.01,1000,0.05,1
1,5,0.01,1000,0.1,0.9936
1,5,0.01,1000,0.2,0.6734
1,5,0.01,5000,0.01,1
1,5,0.01,5000,0.05,1
1,5,0.01,5000,0.1,1
1,5,0.01,5000,0.2,0.9966
1,5,0.01,10000,0.01,1
1,5,0.01,10000,0.05,1
1,5,0.01,10000,0.1,1
1,5,0.01,10000,0.2,1
1,5,0.02,100,0.01,1
1,5,0.02,100,0.05,0.9994
1,5,0.02,100,0.1,0.8186
1,5,0.02,100,0.2,0.4176
1,5,0.02,1000,0.01,1
1,5,0.02,1000,0.05,1
1,5,0.02,1000,0.1,1
1,5,0.02,1000,0.2,0.9922
1,5,0.02,5000,0.01,1
1,5,0.02,5000,0.05,1
1,5,0.02,5000,0.1,1
1,5,0.02,5000,0.2,1
1,5,0.02,10000,0.01,1
1,5,0.02,10000,0.05,1
1,5,0.02,10000,0.1,1
1,5,0.02,10000,0.2,1
1,5,0.05,100,0.01,1
1,5,0.05,100,0.05,1
1,5,0.05,100,0.1,1
1,5,0.05,100,0.2,0.9344
1,5,0.05,1000,0.01,1
1,5,0.05,1000,0.05,1
1,5,0.05,1000,0.1,1
1,5,0.05,1000,0.2,1
1,5,0.05,5000,0.01,1
1,5,0.05,5000,0.05,1
1,5,0.05,5000,0.1,1
1,5,0.05,5000,0.2,1
1,5,0.05,10000,0.01,1
1,5,0.05,10000,0.05,1
1,5,0.05,10000,0.1,1
1,5,0.05,10000,0.2,1
1,5,0.1,100,0.01,1
1,5,0.1,100,0.05,1
1,5,0.1,100,0.1,1
1,5,0.1,100,0.2,1
1,5,0.1,1000,0.01,1
1,5,0.1,1000,0.05,1
1,5,0.1,1000,0.1,1
1,5,0.1,1000,0.2,1
1,5,0.1,5000,0.01,1
1,5,0.1,5000,0.05,1
1,5,0.1,5000,0.1,1
1,5,0.1,5000,0.2,1
1,5,0.1,10000,0.01,1
1,5,0.1,10000,0.05,1
1,5,0.1,10000,0.1,1
1,5,0.1,10000,0.2,1
1,5,0.2,100,0.01,1
1,5,0.2,100,0.05,1
1,5,0.2,100,0.1,1
1,5,0.2,100,0.2,1
1,5,0.2,1000,0.01,1
1,5,0.2,1000,0.05,1
1,5,0.2,1000,0.1,1
1,5,0.2,1000,0.2,1
1,5,0.2,5000,0.01,1
1,5,0.2,5000,0.05,1
1,5,0.2,5000,0.1,1
1,5,0.2,5000,0.2,1
1,5,0.2,10000,0.01,1
1,5,0.2,10000,0.05,1
1,5,0.2,10000,0.1,1
1,5,0.2,10000,0.2,1
1,10,0,100,0.01,0.4078
1,10,0,100,0.05,0.4024
1,10,0,100,0.1,0.4028
1,10,0,100,0.2,0.4062
1,10,0,1000,0.01,0.3884
1,10,0,1000,0.05,0.3956
1,10,0,1000,0.1,0.3944
1,10,0,1000,0.2,0.3892
1,10,0,5000,0.01,0.3958
1,10,0,5000,0.05,0.3906
1,10,0,5000,0.1,0.3894
1,10,0,5000,0.2,0.3992
1,10,0,10000,0.01,0.3936
1,10,0,10000,0.05,0.4104
1,10,0,10000,0.1,0.4092
1,10,0,10000,0.2,0.401
1,10,0.01,100,0.01,1
1,10,0.01,100,0.05,0.9614
1,10,0.01,100,0.1,0.6816
1,10,0.01,100,0.2,0.4792
1,10,0.01,1000,0.01,1
1,10,0.01,1000,0.05,1
1,10,0.01,1000,0.1,1
1,10,0.01,1000,0.2,0.9032
1,10,0.01,5000,0.01,1
1,10,0.01,5000,0.05,1
1,10,0.01,5000,0.1,1
1,10,0.01,5000,0.2,1
1,10,0.01,10000,0.01,1
1,10,0.01,10000,0.05,1
1,10,0.01,10000,0.1,1
1,10,0.01,10000,0.2,1
1,10,0.02,100,0.01,1
1,10,0.02,100,0.05,1
1,10,0.02,100,0.1,0.9712
1,10,0.02,100,0.2,0.6972
1,10,0.02,1000,0.01,1
1,10,0.02,1000,0.05,1
1,10,0.02,1000,0.1,1
1,10,0.02,1000,0.2,1
1,10,0.02,5000,0.01,1
1,10,0.02,5000,0.05,1
1,10,0.02,5000,0.1,1
1,10,0.02,5000,0.2,1
1,10,0.02,10000,0.01,1
1,10,0.02,10000,0.05,1
1,10,0.02,10000,0.1,1
1,10,0.02,10000,0.2,1
1,10,0.05,100,0.01,1
1,10,0.05,100,0.05,1
1,10,0.05,100,0.1,1
1,10,0.05,100,0.2,0.9968
1,10,0.05,1000,0.01,1
1,10,0.05,1000,0.05,1
1,10,0.05,1000,0.1,1
1,10,0.05,1000,0.2,1
1,10,0.05,5000,0.01,1
1,10,0.05,5000,0.05,1
1,10,0.05,5000,0.1,1
1,10,0.05,5000,0.2,1
1,10,0.05,10000,0.01,1
1,10,0.05,10000,0.05,1
1,10,0.05,10000,0.1,1
1,10,0.05,10000,0.2,1
1,10,0.1,100,0.01,1
1,10,0.1,100,0.05,1
1,10,0.1,100,0.1,1
1,10,0.1,100,0.2,1
1,10,0.1,1000,0.01,1
1,10,0.1,1000,0.05,1
1,10,0.1,1000,0.1,1
1,10,0.1,1000,0.2,1
1,10,0.1,5000,0.01,1
1,10,0.1,5000,0.05,1
1,10,0.1,5000,0.1,1
1,10,0.1,5000,0.2,1
1,10,0.1,10000,0.01,1
1,10,0.1,10000,0.05,1
1,10,0.1,10000,0.1,1
1,10,0.1,10000,0.2,1
1,10,0.2,100,0.01,1
1,10,0.2,100,0.05,1
1,10,0.2,100,0.1,1
1,10,0.2,100,0.2,1
1,10,0.2,1000,0.01,1
1,10,0.2,1000,0.05,1
1,10,0.2,1000,0.1,1
1,10,0.2,1000,0.2,1
1,10,0.2,5000,0.01,1
1,10,0.2,5000,0.05,1
1,10,0.2,5000,0.1,1
1,10,0.2,5000,0.2,1
1,10,0.2,10000,0.01,1
1,10,0.2,10000,0.05,1
1,10,0.2,10000,0.1,1
1,10,0.2,10000,0.2,1
1,20,0,100,0.01,0.6262
1,20,0,100,0.05,0.6404
1,20,0,100,0.1,0.6356
1,20,0,100,0.2,0.642
1,20,0,1000,0.01,0.6358
1,20,0,1000,0.05,0.6418
1,20,0,1000,0.1,0.6374
1,20,0,1000,0.2,0.6334
1,20,0,5000,0.01,0.6466
1,20,0,5000,0.05,0.6384
1,20,0,5000,0.1,0.636
1,20,0,5000,0.2,0.6414
1,20,0,10000,0.01,0.6332
1,20,0,10000,0.05,0.6334
1,20,0,10000,0.1,0.648
1,20,0,10000,0.2,0.6458
1,20,0.01,100,0.01,1
1,20,0.01,100,0.05,0.9992
1,20,0.01,100,0.1,0.9024
1,20,0.01,100,0.2,0.7342
1,20,0.01,1000,0.01,1
1,20,0.01,1000,0.05,1
1,20,0.01,1000,0.1,1
1,20,0.01,1000,0.2,0.9904
1,20,0.01,5000,0.01,1
1,20,0.01,5000,0.05,1
1,20,0.01,5000,0.1,1
1,20,0.01,5000,0.2,1
1,20,0.01,10000,0.01,1
1,20,0.01,10000,0.05,1
1,20,0.01,10000,0.1,1
1,20,0.01,10000,0.2,1
1,20,0.02,100,0.01,1
1,20,0.02,100,0.05,1
1,20,0.02,100,0.1,0.9984
1,20,0.02,100,0.2,0.901
1,20,0.02,1000,0.01,1
1,20,0.02,1000,0.05,1
1,20,0.02,1000,0.1,1
1,20,0.02,1000,0.2,1
1,20,0.02,5000,0.01,1
1,20,0.02,5000,0.05,1
1,20,0.02,5000,0.1,1
1,20,0.02,5000,0.2,1
1,20,0.02,10000,0.01,1
1,20,0.02,10000,0.05,1
1,20,0.02,10000,0.1,1
1,20,0.02,10000,0.2,1
1,20,0.05,100,0.01,1
1,20,0.05,100,0.05,1
1,20,0.05,100,0.1,1
1,20,0.05,100,0.2,1
