n_checks,n_comparisons,effect_size,sample_size,Probability_of_finding_an_effect
20,5,0.01,5000,1
20,5,0.02,100,0.84
20,5,0.02,1000,1
20,5,0.02,5000,1
20,5,0.03,100,0.98
20,5,0.03,1000,1
20,5,0.03,5000,1
20,5,0.04,100,0.96
20,5,0.04,1000,1
20,5,0.04,5000,1
20,5,0.05,100,1
20,5,0.05,1000,1
20,5,0.05,5000,1
20,5,0.06,100,1
20,5,0.06,1000,1
20,5,0.06,5000,1
20,5,0.07,100,1
20,5,0.07,1000,1
20,5,0.07,5000,1
20,5,0.08,100,1
20,5,0.08,1000,1
20,5,0.08,5000,1
20,5,0.09,100,1
20,5,0.09,1000,1
20,5,0.09,5000,1
20,5,0.1,100,1
20,5,0.1,1000,1
20,5,0.1,5000,1
20,10,0,100,0.88
20,10,0,1000,0.8
20,10,0,5000,0.84
20,10,0.01,100,0.92
20,10,0.01,1000,0.96
20,10,0.01,5000,1
20,10,0.02,100,0.84
20,10,0.02,1000,1
20,10,0.02,5000,1
20,10,0.03,100,0.98
20,10,0.03,1000,1
20,10,0.03,5000,1
20,10,0.04,100,1
20,10,0.04,1000,1
20,10,0.04,5000,1
20,10,0.05,100,1
20,10,0.05,1000,1
20,10,0.05,5000,1
20,10,0.06,100,1
20,10,0.06,1000,1
20,10,0.06,5000,1
20,10,0.07,100,1
20,10,0.07,1000,1
20,10,0.07,5000,1
20,10,0.08,100,1
20,10,0.08,1000,1
20,10,0.08,5000,1
20,10,0.09,100,1
20,10,0.09,1000,1
20,10,0.09,5000,1
20,10,0.1,100,1
20,10,0.1,1000,1
20,10,0.1,5000,1
20,20,0,100,0.96
20,20,0,1000,0.96
20,20,0,5000,0.94
20,20,0.01,100,0.92
20,20,0.01,1000,1
20,20,0.01,5000,1
20,20,0.02,100,0.98
20,20,0.02,1000,1
20,20,0.02,5000,1
20,20,0.03,100,1
20,20,0.03,1000,1
20,20,0.03,5000,1
20,20,0.04,100,1
20,20,0.04,1000,1
20,20,0.04,5000,1
20,20,0.05,100,1
20,20,0.05,1000,1
20,20,0.05,5000,1
20,20,0.06,100,1
20,20,0.06,1000,1
20,20,0.06,5000,1
20,20,0.07,100,1
20,20,0.07,1000,1
20,20,0.07,5000,1
20,20,0.08,100,1
20,20,0.08,1000,1
20,20,0.08,5000,1
20,20,0.09,100,1
20,20,0.09,1000,1
20,20,0.09,5000,1
20,20,0.1,100,1
20,20,0.1,1000,1
20,20,0.1,5000,1
